edu_attain_final,,,,,,,
Continent,country,years,subject,asab,val,total_pop,pop_with_given_ed_mil
Europe,HUN,2000,NONE,WOMEN,35.278939,5.352866,1.888434331
Europe,HUN,2000,TRY,MEN,13.708835,4.858099,0.665988776
Europe,HUN,2000,TRY,WOMEN,14.352439,5.352866,0.768266827
Europe,HUN,2000,UPPSRY,MEN,60.331306,4.858099,2.930954573
Europe,HUN,2000,UPPSRY,WOMEN,50.368622,5.352866,2.696164842
Europe,IRL,2000,NONE,MEN,45.057836,1.882946,0.848414721
Europe,IRL,2000,NONE,WOMEN,40.358593,1.90659,0.769472898
Europe,IRL,2000,TRY,MEN,21.394621,1.882946,0.40284916
Europe,IRL,2000,TRY,WOMEN,21.831142,1.90659,0.41623037
Europe,IRL,2000,UPPSRY,MEN,33.547543,1.882946,0.631682119
Europe,IRL,2000,UPPSRY,WOMEN,37.810265,1.90659,0.720886731
Europe,ITA,2000,NONE,MEN,56.9819405,27.569659,15.70972669
Europe,ITA,2000,NONE,WOMEN,58.7826468,29.372449,17.26590295
Europe,ITA,2000,TRY,MEN,9.6920595,27.569659,2.672067754
Europe,ITA,2000,TRY,WOMEN,9.0649252,29.372449,2.662590531
Europe,ITA,2000,UPPSRY,MEN,33.326,27.569659,9.187864558
Europe,ITA,2000,UPPSRY,WOMEN,32.152428,29.372449,9.443955517
Asia,JPN,2000,NONE,MEN,63.385147,62.110764,39.36899906
Asia,JPN,2000,NONE,WOMEN,69.364988,64.815079,44.95897177
Asia,JPN,2000,TRY,MEN,36.614853,62.110764,22.74176494
Asia,JPN,2000,TRY,WOMEN,30.635012,64.815079,19.85610723
Asia,KOR,2000,NONE,MEN,23.865987,23.666769,5.648308013
Asia,KOR,2000,NONE,WOMEN,39.731429,23.341342,9.273848724
Asia,KOR,2000,TRY,MEN,29.790934,23.666769,7.050551533
Asia,KOR,2000,TRY,WOMEN,17.841333,23.341342,4.164406553
Asia,KOR,2000,UPPSRY,MEN,46.343079,23.666769,10.96790945
Asia,KOR,2000,UPPSRY,WOMEN,42.427238,23.341342,9.903086723
Europe,LTU,2000,NONE,MEN,15.902916,1.637611,0.260427902
Europe,LTU,2000,NONE,WOMEN,15.652096,1.861923,0.291429975
Europe,LTU,2000,TRY,MEN,36.83659,1.637611,0.60324005
Europe,LTU,2000,TRY,WOMEN,46.26981,1.861923,0.861508234
Europe,LTU,2000,UPPSRY,MEN,47.260494,1.637611,0.773943048
Europe,LTU,2000,UPPSRY,WOMEN,38.078094,1.861923,0.70898479
Europe,LUX,2000,NONE,MEN,34.772547,0.214955,0.074745328
Europe,LUX,2000,NONE,WOMEN,43.507248,0.221348,0.096302423
Europe,LUX,2000,TRY,MEN,20.785879,0.214955,0.044680286
Europe,LUX,2000,TRY,WOMEN,15.713726,0.221348,0.034782018
Europe,LUX,2000,UPPSRY,MEN,44.441574,0.214955,0.095529385
Europe,LUX,2000,UPPSRY,WOMEN,40.779026,0.221348,0.090263558
Europe,LVA,2000,NONE,MEN,18.539242,1.089926,0.202064019
Europe,LVA,2000,NONE,WOMEN,15.181454,1.277623,0.193961748
Europe,LVA,2000,TRY,MEN,16.345989,1.089926,0.178159184
Europe,LVA,2000,TRY,WOMEN,19.878185,1.277623,0.253968264
Europe,LVA,2000,UPPSRY,MEN,65.114769,1.089926,0.709702797
Europe,LVA,2000,UPPSRY,WOMEN,64.940361,1.277623,0.829692988
N America,MEX,2000,NONE,MEN,68.982986,48.540384,33.4846063
N America,MEX,2000,NONE,WOMEN,72.607128,50.244891,36.48137232
N America,MEX,2000,TRY,MEN,17.868587,48.540384,8.673480745
N America,MEX,2000,TRY,WOMEN,11.787515,50.244891,5.922624063
N America,MEX,2000,UPPSRY,MEN,13.148427,48.540384,6.382296956
N America,MEX,2000,UPPSRY,WOMEN,15.605357,50.244891,7.840894615
Europe,NLD,2000,NONE,MEN,31.155085,7.878082,2.454423143
Europe,NLD,2000,NONE,WOMEN,39.231136,8.047423,3.157095462
Europe,NLD,2000,TRY,MEN,26.100851,7.878082,2.056246444
Europe,NLD,2000,TRY,WOMEN,20.581749,8.047423,1.656300403
Europe,NLD,2000,UPPSRY,MEN,42.744064,7.878082,3.367412412
Europe,NLD,2000,UPPSRY,WOMEN,40.187115,8.047423,3.234027136
Europe,POL,2000,NONE,MEN,18.44225,18.5426695,3.419685466
Europe,POL,2000,NONE,WOMEN,21.745579,19.715808,4.287316604
Europe,POL,2000,TRY,MEN,10.245693,18.5426695,1.899824991
Europe,POL,2000,TRY,WOMEN,12.444401,19.715808,2.453514208
Europe,POL,2000,UPPSRY,MEN,71.312057,18.5426695,13.22315904
Europe,POL,2000,UPPSRY,WOMEN,65.81002,19.715808,12.97497719
Europe,PRT,2000,NONE,MEN,81.424696,4.965304,4.042983687
Europe,PRT,2000,NONE,WOMEN,79.867809,5.324594,4.252636566
Europe,PRT,2000,TRY,MEN,7.579196,4.965304,0.376330122
Europe,PRT,2000,TRY,WOMEN,10.041828,5.324594,0.534686571
Europe,PRT,2000,UPPSRY,MEN,10.996108,4.965304,0.54599019
Europe,PRT,2000,UPPSRY,WOMEN,10.090363,5.324594,0.537270863
Europe,SVK,2000,NONE,MEN,11.120009,2.625691,0.291977076
Europe,SVK,2000,NONE,WOMEN,21.1045388,2.774988,0.585648419
Europe,SVK,2000,TRY,MEN,10.959901,2.625691,0.287773134
Europe,SVK,2000,TRY,WOMEN,9.8055792,2.774988,0.272103646
Europe,SVK,2000,UPPSRY,MEN,77.92009,2.625691,2.04594079
Europe,SVK,2000,UPPSRY,WOMEN,69.089882,2.774988,1.917235935
Europe,SVN,2000,NONE,MEN,20.750609,0.972581,0.201816481
Europe,SVN,2000,NONE,WOMEN,29.633478,1.017691,0.301577239
Europe,SVN,2000,TRY,MEN,14.122491,0.972581,0.137352664
Europe,SVN,2000,TRY,WOMEN,17.341646,1.017691,0.176484371
Europe,SVN,2000,UPPSRY,MEN,65.1269,0.972581,0.633411855
Europe,SVN,2000,UPPSRY,WOMEN,53.024876,1.017691,0.539629391
Europe,SWE,2000,NONE,MEN,24.103573,4.386438,1.057288285
Europe,SWE,2000,NONE,WOMEN,20.740535,4.485674,0.930352786
Europe,SWE,2000,TRY,MEN,28.110241,4.386438,1.233038293
Europe,SWE,2000,TRY,WOMEN,32.199219,4.485674,1.444351995
Europe,SWE,2000,UPPSRY,MEN,47.786186,4.386438,2.096111421
Europe,SWE,2000,UPPSRY,WOMEN,47.060246,4.485674,2.110969219
Europe,TUR,2000,NONE,MEN,73.2898569,32.163424,23.57252742
Europe,TUR,2000,NONE,WOMEN,80.9734514,32.105327,25.99679136
Europe,TUR,2000,TRY,MEN,9.6295271,32.163424,3.09718563
Europe,TUR,2000,TRY,WOMEN,6.7412806,32.105327,2.164310181
Europe,TUR,2000,UPPSRY,MEN,17.080616,32.163424,5.493710946
Europe,TUR,2000,UPPSRY,WOMEN,12.285268,32.105327,3.944225464
N America,USA,2000,NONE,MEN,12.89708,138.458548,17.8571097
N America,USA,2000,NONE,WOMEN,12.232178,143.713409,17.57928
N America,USA,2000,TRY,MEN,36.878101,138.458548,51.06088317
N America,USA,2000,TRY,WOMEN,36.128067,143.713409,51.92087669
N America,USA,2000,UPPSRY,MEN,50.224819,138.458548,69.54055512
N America,USA,2000,UPPSRY,WOMEN,51.639755,143.713409,74.21325231
Oceania,AUS,2001,NONE,MEN,34.199726,9.561826,3.270118293
Oceania,AUS,2001,NONE,WOMEN,47.927363,9.712875,4.655124859
Oceania,AUS,2001,TRY,MEN,27.158642,9.561826,2.596862092
Oceania,AUS,2001,TRY,WOMEN,30.789335,9.712875,2.990529622
Oceania,AUS,2001,UPPSRY,MEN,38.641632,9.561826,3.694845615
Oceania,AUS,2001,UPPSRY,WOMEN,21.283302,9.712875,2.067220519
